date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-03-08,DHL Aviation,DH6302,London,Abu Dhabi,Via Baghdad FIR,Via Ankara–Baku corridor,9400,10213,813,4985.17,2.3
2026-03-08,American Airlines,AM1124,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7175,9520,2345,12244.92,2.2
2026-03-09,Air Arabia,AI131,Cairo,Riyadh,Direct Middle East overfly,Via Central Asian detour,7126,8847,1721,8267.13,1.1
2026-03-09,United Airlines,UN215,Paris,Beirut,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7004,7922,918,4888.02,2.0
2026-03-09,Air India,AI6425,Paris,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,9448,10605,1157,5010.85,1.4
2026-03-09,United Airlines,UN3519,Kuwait City,London,Direct Middle East overfly,Via Central Asian detour,6929,9190,2261,9239.66,2.0
2026-03-09,Thai Airways,TH3899,Dubai,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,2052,2647,595,3958.98,3.7
2026-03-09,Emirates SkyCargo,EM3651,London,Kuwait City,Via Persian Gulf,Via Indian Ocean southern route,2586,3862,1276,5138.9,2.4
2026-03-09,Jazeera Airways,JA4634,Dubai,Amman,Via Persian Gulf,Via Indian Ocean southern route,3126,5173,2047,7358.54,2.0
2026-03-09,Air Arabia,AI3815,Istanbul,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9999,12418,2419,12908.55,2.8
2026-03-09,Delta Air Lines,DE6515,Islamabad,Riyadh,Direct Gulf route,Via Jordan–Egypt alternate,2621,3704,1083,5648.62,2.9
2026-03-09,Qatar Airways,QA5665,Beirut,Paris,Direct Gulf route,Via Jordan–Egypt alternate,9019,10064,1045,4742.26,1.6
2026-03-09,Mahan Air,MA8850,Beirut,Paris,Direct Gulf route,Via Jordan–Egypt alternate,8357,9196,839,4834.06,5.3
2026-03-09,Malaysia Airlines,MA5152,Paris,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,8836,9897,1061,6499.82,2.8
2026-03-09,Singapore Airlines,SI6089,Tehran,Beijing,Via Persian Gulf,Via Indian Ocean southern route,3648,5585,1937,7862.83,5.9
2026-03-09,KLM,KL1036,Riyadh,Cairo,Via Persian Gulf,Via Indian Ocean southern route,5204,7177,1973,10722.66,0.5
2026-03-09,Emirates,EM2168,Tehran,Moscow,Direct Gulf route,Via Jordan–Egypt alternate,6449,7463,1014,5226.2,5.0
2026-03-10,Malaysia Airlines,MA5853,Karachi,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,8745,10072,1327,8789.43,2.5
2026-03-10,DHL Aviation,DH3708,Bahrain,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2668,3890,1222,7912.57,4.6
2026-03-10,Air Arabia,AI3878,Paris,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,6436,7082,646,2567.58,1.1
2026-03-10,Oman Air,OM9661,Istanbul,Karachi,Direct Gulf route,Via Jordan–Egypt alternate,9913,10367,454,2991.16,2.9
2026-03-10,United Airlines,UN1694,Dubai,Delhi,Via Baghdad FIR,Via Ankara–Baku corridor,4469,5580,1111,5441.27,4.9
2026-03-10,EgyptAir,EG5609,New York,Dubai,Direct Middle East overfly,Via Central Asian detour,7445,9820,2375,10874.98,3.1
2026-03-10,KLM,KL9976,Frankfurt,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,6861,7509,648,4079.73,1.1
2026-03-10,United Airlines,UN6247,Karachi,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,11121,12019,898,4363.48,1.6
2026-03-10,Lufthansa,LU1264,Muscat,London,Direct Tehran overfly,Via Ashgabat–Almaty route,5680,7462,1782,6403.67,5.7
2026-03-10,Cathay Pacific,CA7579,Dubai,Frankfurt,Via Persian Gulf,Via Indian Ocean southern route,4724,6129,1405,8216.85,2.8
2026-03-10,Emirates,EM4468,Kuwait City,Cairo,Via Persian Gulf,Via Indian Ocean southern route,7956,10323,2367,8355.8,4.1
2026-03-11,Kuwait Airways,KU5107,Paris,Beirut,Direct Middle East overfly,Via Central Asian detour,8438,10435,1997,10393.22,1.7
2026-03-11,Etihad Airways,ET2065,Sydney,Abu Dhabi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7394,8825,1431,8299.05,1.2
2026-03-11,DHL Aviation,DH5120,Cairo,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,6498,9213,2715,17783.64,4.5
2026-03-11,Malaysia Airlines,MA5587,Frankfurt,Dubai,Direct Middle East overfly,Via Central Asian detour,6479,8419,1940,7504.37,2.5
2026-03-11,Lufthansa,LU5256,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,5036,8327,3291,19693.3,0.7
2026-03-11,Gulf Air,GU2658,Istanbul,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6461,7582,1121,7683.45,0.6
2026-03-11,Ethiopian Airlines,ET8116,Kuwait City,Mumbai,Via Baghdad FIR,Via Ankara–Baku corridor,9327,9847,520,2178.56,2.4
2026-03-11,DHL Aviation,DH9755,Dubai,Frankfurt,Direct Tehran overfly,Via Ashgabat–Almaty route,7222,8205,983,3488.33,1.7
2026-03-11,British Airways,BR1990,Cairo,Riyadh,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11961,14172,2211,14475.89,5.5
2026-03-11,Cathay Pacific,CA3876,Doha,Paris,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6506,8226,1720,11864.13,5.8
2026-03-11,Jazeera Airways,JA6765,Dubai,Bahrain,Via Baghdad FIR,Via Ankara–Baku corridor,8851,9845,994,4754.91,3.4
2026-03-11,Emirates SkyCargo,EM1374,Dubai,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,3875,7292,3417,21294.78,1.9
2026-03-11,Iran Air,IR5723,Paris,Doha,Direct Middle East overfly,Via Central Asian detour,10893,13257,2364,8336.82,2.7
2026-03-11,Qatar Airways,QA7294,London,Muscat,Direct Middle East overfly,Via Central Asian detour,7564,9516,1952,13619.03,2.8
2026-03-11,Gulf Air,GU7812,Mumbai,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4017,5579,1562,7795.28,5.7
2026-03-11,Singapore Airlines,SI3818,London,Kuwait City,Via Baghdad FIR,Via Ankara–Baku corridor,7700,8612,912,6265.53,2.8
2026-03-11,Thai Airways,TH324,Riyadh,Cairo,Direct Gulf route,Via Jordan–Egypt alternate,5132,5905,773,3626.31,4.7
2026-03-11,Delta Air Lines,DE9721,Abu Dhabi,Washington,Direct Tehran overfly,Via Ashgabat–Almaty route,9158,11009,1851,11109.23,2.1
2026-03-11,United Airlines,UN8113,Doha,Paris,Direct Tehran overfly,Via Ashgabat–Almaty route,4453,5735,1282,8352.73,5.0
2026-03-11,Lufthansa,LU539,Dubai,Sydney,Via Strait of Hormuz,Via Red Sea–Suez route,7498,8728,1230,8512.17,2.6
2026-03-11,Ethiopian Airlines,ET5811,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,11947,13583,1636,6314.64,1.2
2026-03-12,Jazeera Airways,JA7529,Los Angeles,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,11505,12483,978,6642.2,5.3
2026-03-12,Malaysia Airlines,MA5536,Cairo,Riyadh,Via Strait of Hormuz,Via Red Sea–Suez route,9263,10299,1036,5734.78,1.9
2026-03-12,Iran Air,IR8541,Riyadh,Cairo,Direct Gulf route,Via Jordan–Egypt alternate,3789,4240,451,2428.93,2.1
2026-03-12,FedEx Express,FE6579,Tehran,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6637,7854,1217,4971.69,3.4
2026-03-12,Ethiopian Airlines,ET1620,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,3990,5259,1269,5682.25,1.8
2026-03-12,Singapore Airlines,SI691,Delhi,Dubai,Via Persian Gulf,Via Indian Ocean southern route,9204,11068,1864,9544.27,0.8
2026-03-12,flydubai,FL4404,Dubai,Karachi,Via Baghdad FIR,Via Ankara–Baku corridor,11601,12889,1288,4883.55,4.6
2026-03-12,Air India,AI8688,Riyadh,London,Via Baghdad FIR,Via Ankara–Baku corridor,9877,10457,580,2881.13,3.2
2026-03-12,Etihad Airways,ET5193,Doha,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,5014,5718,704,3288.02,1.2
2026-03-12,British Airways,BR4933,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,4837,5544,707,3650.54,4.5
