date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-03-01,Cathay Pacific,CA3623,Paris,Doha,France,Qatar,Boeing 737 MAX 8,132,Government travel ban
2026-03-01,FedEx Express,FE4808,Sydney,Dubai,Australia,UAE,Boeing 737-800,435,ATC flow restrictions — congestion
2026-03-01,Qatar Airways,QA882,Dubai,Delhi,UAE,India,Airbus A380-800,203,Airport closure — military activity
2026-03-01,Cathay Pacific,CA1538,Karachi,Dubai,Pakistan,UAE,Boeing 737 MAX 8,340,Government travel ban
2026-03-01,Ethiopian Airlines,ET1944,Kuwait City,Cairo,Kuwait,Egypt,Airbus A380-800,396,Security risk — conflict zone
2026-03-01,Kuwait Airways,KU1868,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,253,Fuel supply disruption
2026-03-02,Air France,AI4704,Dubai,Paris,UAE,France,Boeing 737 MAX 8,399,Crew duty-time exceedance after long reroutes
2026-03-02,Delta Air Lines,DE3242,Mumbai,Dubai,India,UAE,Airbus A340-600,408,Crew duty-time exceedance after long reroutes
2026-03-02,Jazeera Airways,JA2785,Tehran,Moscow,Iran,Russia,Boeing 777-300ER,139,Temporary corridor suspension — safety bulletin
2026-03-02,Iran Air,IR8088,Cairo,Dubai,Egypt,UAE,Boeing 787-10 Dreamliner,403,Airspace closure — NOTAM
2026-03-02,Delta Air Lines,DE6904,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 777-200LR,273,Crew safety — company policy
2026-03-02,Emirates SkyCargo,EM9690,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A350-900,258,Airport closure — military activity
2026-03-02,Ethiopian Airlines,ET5498,Mumbai,Kuwait City,India,Kuwait,Boeing 777-200LR,154,ATC flow restrictions — congestion
2026-03-02,Oman Air,OM1362,Cairo,Kuwait City,Egypt,Kuwait,Airbus A320neo,280,Security risk — conflict zone
2026-03-02,Air India,AI2104,London,Bahrain,UK,Bahrain,Boeing 737-800,293,Government travel ban
2026-03-02,Kuwait Airways,KU7703,Karachi,Istanbul,Pakistan,Turkey,Boeing 787-10 Dreamliner,435,Insurance restriction — war zone
2026-03-02,Malaysia Airlines,MA3295,Sydney,Dubai,Australia,UAE,Airbus A321neo,359,Fuel supply disruption
2026-03-02,Singapore Airlines,SI2825,Islamabad,Dubai,Pakistan,UAE,Boeing 737 MAX 8,142,Crew duty-time exceedance after long reroutes
2026-03-02,United Airlines,UN1371,Doha,New York,Qatar,USA,Boeing 787-10 Dreamliner,393,Security risk — conflict zone
2026-03-02,flydubai,FL2663,Sydney,Abu Dhabi,Australia,UAE,Boeing 787-9 Dreamliner,261,Insurance restriction — war zone
2026-03-02,Air France,AI1716,Muscat,London,Oman,UK,Boeing 777-300ER,422,Temporary corridor suspension — safety bulletin
2026-03-02,Etihad Airways,ET2102,Doha,Paris,Qatar,France,Boeing 737-800,159,Crew duty-time exceedance after long reroutes
2026-03-02,Mahan Air,MA6227,Amman,Dubai,Jordan,UAE,Airbus A380-800,395,Insurance restriction — war zone
2026-03-02,KLM,KL5122,Singapore,Dubai,Singapore,UAE,Boeing 787-9 Dreamliner,333,Crew safety — company policy
2026-03-02,Saudi Arabian Airlines,SA6102,Singapore,London,Singapore,UK,Airbus A320neo,206,Airport closure — military activity
2026-03-02,FedEx Express,FE6909,New York,Doha,USA,Qatar,Boeing 787-10 Dreamliner,403,Airspace closure — NOTAM
2026-03-02,Air France,AI1645,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A350-900,427,Airport closure — military activity
2026-03-02,Lufthansa,LU1274,Paris,Doha,France,Qatar,Airbus A321neo,249,ATC flow restrictions — congestion
2026-03-02,IndiGo,IN1855,Washington,Abu Dhabi,USA,UAE,Boeing 787-10 Dreamliner,264,Diplomatic advisory — do not fly
2026-03-02,British Airways,BR4924,Kuwait City,London,Kuwait,UK,Airbus A340-600,286,Crew safety — company policy
2026-03-03,Saudi Arabian Airlines,SA1148,London,Kuwait City,UK,Kuwait,Boeing 737-800,387,Airspace closure — NOTAM
2026-03-03,IndiGo,IN6532,London,Abu Dhabi,UK,UAE,Airbus A340-600,132,Crew safety — company policy
2026-03-03,Delta Air Lines,DE6658,London,Doha,UK,Qatar,Boeing 737-800,116,Security risk — conflict zone
2026-03-03,Ethiopian Airlines,ET4466,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A330-300,134,ATC flow restrictions — congestion
2026-03-03,Jazeera Airways,JA4154,London,Singapore,UK,Singapore,Airbus A330-300,251,Airport closure — military activity
2026-03-03,Saudi Arabian Airlines,SA4415,Dubai,Bahrain,UAE,Bahrain,Boeing 787-10 Dreamliner,328,Security risk — conflict zone
2026-03-03,Lufthansa,LU7988,Beirut,Paris,Lebanon,France,Boeing 777-300ER,229,Security risk — conflict zone
2026-03-03,Etihad Airways,ET8144,Dubai,Bahrain,UAE,Bahrain,Boeing 787-10 Dreamliner,312,Government travel ban
2026-03-03,Jazeera Airways,JA4576,Doha,New York,Qatar,USA,Boeing 787-9 Dreamliner,84,Crew safety — company policy
2026-03-03,Gulf Air,GU6126,Doha,Los Angeles,Qatar,USA,Airbus A330-300,154,ATC flow restrictions — congestion
2026-03-03,Thai Airways,TH2352,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A350-900,213,Temporary corridor suspension — safety bulletin
2026-03-03,Air India,AI4752,Dubai,Frankfurt,UAE,Germany,Airbus A340-600,447,Crew duty-time exceedance after long reroutes
2026-03-03,Saudi Arabian Airlines,SA6473,Kuwait City,Mumbai,Kuwait,India,Boeing 737-800,167,Security risk — conflict zone
2026-03-03,DHL Aviation,DH5883,London,Dubai,UK,UAE,Airbus A321neo,440,Airport closure — military activity
2026-03-03,Cargolux,CA8627,London,Riyadh,UK,Saudi Arabia,Airbus A340-600,242,Airspace closure — NOTAM
2026-03-03,Ethiopian Airlines,ET7966,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737-800,331,Fuel supply disruption
2026-03-03,IndiGo,IN3448,Muscat,London,Oman,UK,Airbus A330-300,270,Crew safety — company policy
2026-03-03,Qatar Airways,QA9007,Washington,Abu Dhabi,USA,UAE,Boeing 777-200LR,433,Crew duty-time exceedance after long reroutes
2026-03-03,IndiGo,IN7048,New York,Doha,USA,Qatar,Boeing 787-9 Dreamliner,411,Diplomatic advisory — do not fly
2026-03-03,IndiGo,IN1293,Istanbul,Dubai,Turkey,UAE,Airbus A340-600,439,Temporary corridor suspension — safety bulletin
2026-03-03,Etihad Airways,ET9404,Istanbul,Karachi,Turkey,Pakistan,Boeing 737-800,414,Diplomatic advisory — do not fly
2026-03-03,Turkish Airlines,TU4366,Paris,Dubai,France,UAE,Boeing 737-800,389,Government travel ban
2026-03-03,Gulf Air,GU4122,Washington,Abu Dhabi,USA,UAE,Boeing 737-800,361,Temporary corridor suspension — safety bulletin
2026-03-04,Gulf Air,GU2978,New York,Doha,USA,Qatar,Boeing 777-200LR,279,Insurance restriction — war zone
2026-03-04,Saudi Arabian Airlines,SA7713,Singapore,London,Singapore,UK,Airbus A350-900,409,Government travel ban
2026-03-04,Pakistan International Airlines,PA1202,Doha,Paris,Qatar,France,Boeing 777-200LR,348,Temporary corridor suspension — safety bulletin
2026-03-04,Kuwait Airways,KU6859,Paris,Doha,France,Qatar,Airbus A330-300,305,ATC flow restrictions — congestion
2026-03-04,Malaysia Airlines,MA1984,Istanbul,Dubai,Turkey,UAE,Airbus A380-800,85,ATC flow restrictions — congestion
2026-03-04,Jazeera Airways,JA8241,New York,Doha,USA,Qatar,Airbus A330-300,422,Fuel supply disruption
2026-03-04,United Airlines,UN340,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A350-900,349,Government travel ban
2026-03-04,Air India,AI2907,London,Dubai,UK,UAE,Boeing 737-800,278,Temporary corridor suspension — safety bulletin
2026-03-04,KLM,KL3060,Dubai,Cairo,UAE,Egypt,Boeing 777-300ER,377,ATC flow restrictions — congestion
2026-03-04,Malaysia Airlines,MA5896,London,Muscat,UK,Oman,Boeing 777-200LR,150,Government travel ban
2026-03-04,Air India,AI6861,Delhi,Dubai,India,UAE,Boeing 787-9 Dreamliner,325,Temporary corridor suspension — safety bulletin
2026-03-04,FedEx Express,FE7230,London,Kuwait City,UK,Kuwait,Boeing 787-10 Dreamliner,245,Insurance restriction — war zone
2026-03-04,Saudi Arabian Airlines,SA9105,Dubai,Paris,UAE,France,Airbus A350-900,99,Crew safety — company policy
2026-03-04,Kuwait Airways,KU4908,London,Abu Dhabi,UK,UAE,Airbus A350-900,268,Airport closure — military activity
2026-03-04,Saudi Arabian Airlines,SA2799,London,Singapore,UK,Singapore,Boeing 777-200LR,247,Insurance restriction — war zone
2026-03-04,Lufthansa,LU3390,Dubai,Islamabad,UAE,Pakistan,Airbus A350-900,99,Government travel ban
2026-03-04,Gulf Air,GU1629,Delhi,Dubai,India,UAE,Boeing 737 MAX 8,410,Fuel supply disruption
2026-03-04,FedEx Express,FE3160,Beirut,Paris,Lebanon,France,Boeing 787-9 Dreamliner,411,Security risk — conflict zone
2026-03-05,Etihad Airways,ET3032,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,216,Temporary corridor suspension — safety bulletin
2026-03-05,Air France,AI8665,New York,Doha,USA,Qatar,Airbus A380-800,334,Government travel ban
2026-03-05,Iran Air,IR6390,London,Bahrain,UK,Bahrain,Boeing 737-800,443,Airport closure — military activity
2026-03-05,Thai Airways,TH5838,Muscat,London,Oman,UK,Airbus A340-600,312,ATC flow restrictions — congestion
2026-03-05,Kuwait Airways,KU3998,New York,Dubai,USA,UAE,Boeing 787-10 Dreamliner,158,Diplomatic advisory — do not fly
2026-03-05,DHL Aviation,DH1333,Istanbul,Karachi,Turkey,Pakistan,Airbus A350-900,238,Insurance restriction — war zone
2026-03-05,Jazeera Airways,JA894,New York,Dubai,USA,UAE,Airbus A340-600,264,Insurance restriction — war zone
2026-03-05,KLM,KL7200,Cairo,Dubai,Egypt,UAE,Airbus A320neo,268,Diplomatic advisory — do not fly
2026-03-05,Emirates SkyCargo,EM6412,Istanbul,Tehran,Turkey,Iran,Airbus A320neo,333,Crew duty-time exceedance after long reroutes
2026-03-05,Saudi Arabian Airlines,SA421,Doha,Paris,Qatar,France,Boeing 737 MAX 8,306,Government travel ban
2026-03-05,British Airways,BR2894,Istanbul,Dubai,Turkey,UAE,Airbus A330-300,80,Crew safety — company policy
2026-03-05,Kuwait Airways,KU345,Doha,Mumbai,Qatar,India,Airbus A350-900,341,Diplomatic advisory — do not fly
2026-03-05,Ethiopian Airlines,ET2012,Bahrain,Dubai,Bahrain,UAE,Boeing 787-10 Dreamliner,372,Government travel ban
2026-03-05,Qatar Airways,QA3913,Bahrain,Dubai,Bahrain,UAE,Airbus A320neo,96,Security risk — conflict zone
2026-03-06,Ethiopian Airlines,ET3198,Doha,Los Angeles,Qatar,USA,Boeing 737-800,94,Crew duty-time exceedance after long reroutes
2026-03-06,Pakistan International Airlines,PA874,Kuwait City,Mumbai,Kuwait,India,Boeing 777-300ER,87,Crew duty-time exceedance after long reroutes
2026-03-06,Cargolux,CA1068,Lahore,Doha,Pakistan,Qatar,Boeing 737-800,379,Crew duty-time exceedance after long reroutes
2026-03-06,Gulf Air,GU4446,Los Angeles,Doha,USA,Qatar,Boeing 787-10 Dreamliner,195,Insurance restriction — war zone
2026-03-06,Emirates,EM4550,Tehran,Beijing,Iran,China,Boeing 787-9 Dreamliner,346,Diplomatic advisory — do not fly
2026-03-06,Jazeera Airways,JA7974,Moscow,Tehran,Russia,Iran,Boeing 787-10 Dreamliner,160,Crew safety — company policy
2026-03-06,IndiGo,IN9149,Dubai,Amman,UAE,Jordan,Boeing 787-10 Dreamliner,394,Fuel supply disruption
2026-03-06,Iran Air,IR7588,Mumbai,Dubai,India,UAE,Airbus A380-800,340,Crew duty-time exceedance after long reroutes
2026-03-06,Turkish Airlines,TU9732,New York,Dubai,USA,UAE,Airbus A321neo,415,Insurance restriction — war zone
2026-03-06,Ethiopian Airlines,ET8647,Delhi,Dubai,India,UAE,Airbus A340-600,121,Temporary corridor suspension — safety bulletin
2026-03-06,Emirates,EM8136,Karachi,Istanbul,Pakistan,Turkey,Boeing 787-10 Dreamliner,332,Security risk — conflict zone
2026-03-06,Air India,AI1570,Doha,Mumbai,Qatar,India,Airbus A320neo,399,Temporary corridor suspension — safety bulletin
2026-03-06,Air France,AI4242,Beirut,Paris,Lebanon,France,Boeing 777-300ER,298,Crew duty-time exceedance after long reroutes
2026-03-06,Mahan Air,MA4860,Cairo,Dubai,Egypt,UAE,Airbus A340-600,336,Government travel ban
2026-03-06,Turkish Airlines,TU7056,Mumbai,Doha,India,Qatar,Boeing 787-9 Dreamliner,259,Insurance restriction — war zone
2026-03-06,Gulf Air,GU784,London,Abu Dhabi,UK,UAE,Boeing 777-300ER,303,Government travel ban
2026-03-06,flydubai,FL533,Doha,New York,Qatar,USA,Airbus A330-300,421,Airspace closure — NOTAM
2026-03-07,Cathay Pacific,CA9378,Mumbai,Dubai,India,UAE,Boeing 777-300ER,376,Crew duty-time exceedance after long reroutes
2026-03-07,Qatar Airways,QA7331,Delhi,Istanbul,India,Turkey,Airbus A350-900,169,Security risk — conflict zone
2026-03-07,Oman Air,OM3367,Dubai,Istanbul,UAE,Turkey,Boeing 737-800,233,Diplomatic advisory — do not fly
2026-03-07,Kuwait Airways,KU9748,Sydney,Abu Dhabi,Australia,UAE,Airbus A350-900,126,ATC flow restrictions — congestion
2026-03-07,DHL Aviation,DH201,Mumbai,Dubai,India,UAE,Boeing 737-800,402,Diplomatic advisory — do not fly
2026-03-07,Oman Air,OM2117,Paris,Doha,France,Qatar,Airbus A330-300,387,Government travel ban
2026-03-07,Emirates,EM1417,Muscat,London,Oman,UK,Airbus A350-900,226,Security risk — conflict zone
2026-03-07,Pakistan International Airlines,PA8158,Kuwait City,Mumbai,Kuwait,India,Boeing 737-800,315,Fuel supply disruption
2026-03-07,Malaysia Airlines,MA6926,Muscat,London,Oman,UK,Boeing 787-9 Dreamliner,130,Temporary corridor suspension — safety bulletin
2026-03-07,Thai Airways,TH9590,Frankfurt,Dubai,Germany,UAE,Airbus A350-900,198,Insurance restriction — war zone
2026-03-07,Air India,AI4801,Muscat,London,Oman,UK,Boeing 777-200LR,96,Crew duty-time exceedance after long reroutes
2026-03-07,Lufthansa,LU5924,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A330-300,287,Government travel ban
2026-03-07,Jazeera Airways,JA2392,Abu Dhabi,Sydney,UAE,Australia,Airbus A380-800,338,Airport closure — military activity
2026-03-07,United Airlines,UN5074,Kuwait City,Mumbai,Kuwait,India,Boeing 737-800,296,Airport closure — military activity
2026-03-07,Iran Air,IR5888,Dubai,Amman,UAE,Jordan,Airbus A340-600,307,Crew safety — company policy
2026-03-07,Qatar Airways,QA1993,Paris,Beirut,France,Lebanon,Boeing 777-200LR,205,Airport closure — military activity
2026-03-07,United Airlines,UN8284,Tehran,Beijing,Iran,China,Boeing 737 MAX 8,348,Insurance restriction — war zone
2026-03-07,flydubai,FL4378,Dubai,New York,UAE,USA,Airbus A350-900,417,Insurance restriction — war zone
2026-03-07,Air India,AI160,Kuwait City,Cairo,Kuwait,Egypt,Airbus A380-800,231,Crew duty-time exceedance after long reroutes
2026-03-07,Mahan Air,MA8475,Delhi,Istanbul,India,Turkey,Airbus A340-600,127,Insurance restriction — war zone
2026-03-07,Singapore Airlines,SI1986,Lahore,Doha,Pakistan,Qatar,Airbus A380-800,184,ATC flow restrictions — congestion
2026-03-08,Lufthansa,LU598,Karachi,Dubai,Pakistan,UAE,Boeing 777-300ER,433,ATC flow restrictions — congestion
2026-03-08,FedEx Express,FE5079,Doha,New York,Qatar,USA,Airbus A380-800,269,Diplomatic advisory — do not fly
2026-03-08,Air Arabia,AI8631,Dubai,New York,UAE,USA,Boeing 737 MAX 8,327,Security risk — conflict zone
2026-03-08,Pakistan International Airlines,PA3846,Dubai,London,UAE,UK,Airbus A330-300,158,Fuel supply disruption
2026-03-08,Singapore Airlines,SI8305,Mumbai,Doha,India,Qatar,Boeing 787-9 Dreamliner,315,Diplomatic advisory — do not fly
2026-03-08,FedEx Express,FE5416,Delhi,Istanbul,India,Turkey,Airbus A380-800,445,Temporary corridor suspension — safety bulletin
2026-03-08,Jazeera Airways,JA1328,Dubai,London,UAE,UK,Airbus A321neo,215,ATC flow restrictions — congestion
2026-03-08,Jazeera Airways,JA7231,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,205,Crew safety — company policy
2026-03-08,American Airlines,AM3981,Doha,Lahore,Qatar,Pakistan,Airbus A380-800,366,Crew safety — company policy
2026-03-08,Lufthansa,LU8951,Paris,Beirut,France,Lebanon,Boeing 777-300ER,95,Government travel ban
2026-03-08,American Airlines,AM6198,Delhi,Istanbul,India,Turkey,Airbus A380-800,435,Government travel ban
2026-03-08,Cathay Pacific,CA5307,Doha,Mumbai,Qatar,India,Boeing 737-800,443,Government travel ban
2026-03-08,Iran Air,IR3949,Sydney,Dubai,Australia,UAE,Airbus A350-900,130,Fuel supply disruption
2026-03-08,Qatar Airways,QA8136,Bahrain,Dubai,Bahrain,UAE,Boeing 787-9 Dreamliner,317,ATC flow restrictions — congestion
2026-03-08,Air Arabia,AI9118,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A330-300,325,Security risk — conflict zone
2026-03-08,Jazeera Airways,JA1145,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A320neo,318,Airport closure — military activity
2026-03-08,Pakistan International Airlines,PA1778,New York,Doha,USA,Qatar,Airbus A320neo,156,Security risk — conflict zone
2026-03-08,Emirates SkyCargo,EM766,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 777-300ER,262,Airport closure — military activity
2026-03-08,flydubai,FL883,Dubai,Karachi,UAE,Pakistan,Airbus A340-600,396,Security risk — conflict zone
2026-03-08,Emirates SkyCargo,EM9385,Dubai,Amman,UAE,Jordan,Airbus A320neo,342,Government travel ban
2026-03-09,Air France,AI2446,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,171,Diplomatic advisory — do not fly
2026-03-09,Malaysia Airlines,MA787,Moscow,Tehran,Russia,Iran,Airbus A350-900,408,Airport closure — military activity
2026-03-09,KLM,KL1637,Frankfurt,Dubai,Germany,UAE,Boeing 787-10 Dreamliner,367,Crew duty-time exceedance after long reroutes
2026-03-09,Singapore Airlines,SI5575,Islamabad,Dubai,Pakistan,UAE,Boeing 737 MAX 8,313,Airport closure — military activity
2026-03-09,IndiGo,IN8920,Islamabad,Dubai,Pakistan,UAE,Boeing 777-300ER,360,Crew safety — company policy
2026-03-09,Turkish Airlines,TU482,Paris,Dubai,France,UAE,Airbus A321neo,300,ATC flow restrictions — congestion
2026-03-09,Thai Airways,TH9401,Los Angeles,Doha,USA,Qatar,Boeing 777-300ER,88,Security risk — conflict zone
2026-03-09,United Airlines,UN4827,Dubai,Delhi,UAE,India,Airbus A380-800,217,Fuel supply disruption
2026-03-09,Air Arabia,AI4152,Dubai,Bahrain,UAE,Bahrain,Boeing 737 MAX 8,417,Government travel ban
2026-03-09,Kuwait Airways,KU1745,London,Muscat,UK,Oman,Boeing 737-800,297,Temporary corridor suspension — safety bulletin
2026-03-09,Air France,AI8273,Karachi,Dubai,Pakistan,UAE,Boeing 777-300ER,279,Airspace closure — NOTAM
2026-03-09,Mahan Air,MA5017,Dubai,Amman,UAE,Jordan,Boeing 777-200LR,157,Insurance restriction — war zone
2026-03-09,KLM,KL2707,New York,Dubai,USA,UAE,Airbus A321neo,337,ATC flow restrictions — congestion
2026-03-09,DHL Aviation,DH663,Riyadh,London,Saudi Arabia,UK,Airbus A340-600,99,Insurance restriction — war zone
2026-03-09,Ethiopian Airlines,ET6527,Beirut,Paris,Lebanon,France,Airbus A321neo,119,Government travel ban
2026-03-09,Gulf Air,GU8068,Paris,Doha,France,Qatar,Airbus A340-600,151,Temporary corridor suspension — safety bulletin
2026-03-09,Qatar Airways,QA477,Dubai,New York,UAE,USA,Airbus A321neo,300,Fuel supply disruption
2026-03-10,KLM,KL8103,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A321neo,384,Fuel supply disruption
2026-03-10,Cathay Pacific,CA5324,Istanbul,Tehran,Turkey,Iran,Boeing 777-300ER,248,Government travel ban
2026-03-10,American Airlines,AM5927,Karachi,Dubai,Pakistan,UAE,Airbus A340-600,319,Temporary corridor suspension — safety bulletin
2026-03-10,Etihad Airways,ET8499,Abu Dhabi,Washington,UAE,USA,Airbus A320neo,355,Temporary corridor suspension — safety bulletin
2026-03-10,Gulf Air,GU7445,Singapore,Dubai,Singapore,UAE,Airbus A320neo,257,Diplomatic advisory — do not fly
2026-03-10,Oman Air,OM9822,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,385,Insurance restriction — war zone
2026-03-10,United Airlines,UN4102,Istanbul,Karachi,Turkey,Pakistan,Airbus A350-900,106,Airport closure — military activity
2026-03-10,Delta Air Lines,DE3128,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,131,Security risk — conflict zone
2026-03-10,Malaysia Airlines,MA7586,Beirut,Paris,Lebanon,France,Airbus A321neo,325,Temporary corridor suspension — safety bulletin
2026-03-10,Delta Air Lines,DE7000,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,369,Crew duty-time exceedance after long reroutes
2026-03-10,British Airways,BR6209,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 777-200LR,101,Airport closure — military activity
2026-03-10,IndiGo,IN4048,London,Doha,UK,Qatar,Airbus A380-800,407,Government travel ban
2026-03-10,United Airlines,UN5656,Doha,Paris,Qatar,France,Boeing 777-300ER,252,Insurance restriction — war zone
2026-03-10,Cathay Pacific,CA6900,London,Kuwait City,UK,Kuwait,Boeing 787-10 Dreamliner,338,Fuel supply disruption
2026-03-10,Etihad Airways,ET269,Dubai,New York,UAE,USA,Boeing 787-9 Dreamliner,425,Security risk — conflict zone
2026-03-10,DHL Aviation,DH6612,Doha,Mumbai,Qatar,India,Boeing 787-9 Dreamliner,104,Airspace closure — NOTAM
2026-03-10,KLM,KL1631,Doha,New York,Qatar,USA,Airbus A321neo,437,Crew duty-time exceedance after long reroutes
2026-03-10,IndiGo,IN9082,Beirut,Paris,Lebanon,France,Boeing 777-300ER,334,Temporary corridor suspension — safety bulletin
2026-03-10,flydubai,FL7106,Cairo,Kuwait City,Egypt,Kuwait,Boeing 777-200LR,358,Crew safety — company policy
2026-03-10,Saudi Arabian Airlines,SA3139,Bahrain,Dubai,Bahrain,UAE,Boeing 787-10 Dreamliner,402,Security risk — conflict zone
2026-03-10,Oman Air,OM5215,Riyadh,London,Saudi Arabia,UK,Airbus A350-900,176,Fuel supply disruption
2026-03-10,Cathay Pacific,CA2531,Bahrain,Dubai,Bahrain,UAE,Airbus A340-600,273,Insurance restriction — war zone
2026-03-10,Jazeera Airways,JA5760,London,Doha,UK,Qatar,Boeing 777-200LR,111,Fuel supply disruption
2026-03-10,Jazeera Airways,JA3969,Dubai,Singapore,UAE,Singapore,Boeing 787-9 Dreamliner,136,Airport closure — military activity
2026-03-11,Pakistan International Airlines,PA6673,Tehran,Istanbul,Iran,Turkey,Boeing 777-200LR,91,Temporary corridor suspension — safety bulletin
