country,region,closure_start_date,closure_end_date,duration_hours,airspace_zone,reason,flights_affected
Egypt,North Africa,2026-04-01 02:21,2026-04-01 08:21,6,FIR,ATC flow management due corridor congestion,208
UAE,Middle East,2026-04-02 13:49,2026-04-03 01:49,12,Night Corridor Restriction,Temporary safety closure — route deconfliction,28
India,South Asia,2026-04-03 08:13,2026-04-04 02:13,18,UIR,GPS interference advisory — altitude/time restriction,114
India,South Asia,2026-04-06 14:55,2026-04-06 20:55,6,Night Corridor Restriction,ATC flow management due corridor congestion,35
Oman,Middle East,2026-04-07 21:56,2026-04-08 21:56,24,FIR,ATC flow management due corridor congestion,134
Jordan,Middle East,2026-04-10 12:35,2026-04-12 00:35,36,Partial Restriction,ATC flow management due corridor congestion,168
Qatar,Middle East,2026-04-12 09:19,2026-04-12 21:19,12,Night Corridor Restriction,Military drill notice — temporary NOTAM,189
UAE,Middle East,2026-04-12 14:56,2026-04-12 20:56,6,UIR,ATC flow management due corridor congestion,18
Iraq,Middle East,2026-04-14 05:23,2026-04-14 17:23,12,Partial Restriction,ATC flow management due corridor congestion,114
Egypt,North Africa,2026-04-15 13:19,2026-04-17 13:19,48,UIR,ATC flow management due corridor congestion,197
Qatar,Middle East,2026-04-15 16:28,2026-04-16 04:28,12,Partial Restriction,Temporary safety closure — route deconfliction,21
Iran,Middle East,2026-04-16 05:27,2026-04-17 17:27,36,UIR,GPS interference advisory — altitude/time restriction,215
Iran,Middle East,2026-04-16 19:26,2026-04-17 13:26,18,Partial Restriction,Temporary safety closure — route deconfliction,121
Israel,Middle East,2026-04-17 06:07,2026-04-17 12:07,6,FIR,ATC flow management due corridor congestion,23
Saudi Arabia,Middle East,2026-04-19 12:54,2026-04-20 12:54,24,UIR,GPS interference advisory — altitude/time restriction,166
