airport_name,iata_code,country,region,disruption_type,severity_level,flights_affected,duration_hours,date
Dubai International Airport,DXB,UAE,Middle East,Flight Cancellations,Severe,80,66.0,2026-03-29
Dubai International Airport,DXB,UAE,Middle East,Arrival Diversions,Severe,135,26.0,2026-03-29
Dubai International Airport,DXB,UAE,Middle East,Departure Delays,High,138,7.2,2026-03-30
Indira Gandhi International Airport,DEL,India,South Asia,Full Closure,Moderate,151,39.1,2026-03-30
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,Security Lockdown,Low,200,4.9,2026-03-30
Charles de Gaulle Airport,CDG,France,Europe,Staff Evacuation,Moderate,10,10.0,2026-03-30
Hamad International Airport,DOH,Qatar,Middle East,GPS Interference Advisory,Severe,181,20.0,2026-03-30
Muscat International Airport,MCT,Oman,Middle East,Staff Evacuation,High,68,7.2,2026-03-30
Mehrabad International Airport,THR,Iran,Middle East,Departure Delays,High,57,40.1,2026-03-30
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Flight Cancellations,Critical,150,49.5,2026-03-31
Dubai International Airport,DXB,UAE,Middle East,Flight Cancellations,Severe,285,24.3,2026-03-31
Chhatrapati Shivaji Maharaj International Airport,BOM,India,South Asia,Flight Cancellations,High,7,61.1,2026-03-31
Islamabad International Airport,ISB,Pakistan,South Asia,Departure Delays,Severe,249,41.1,2026-03-31
Damascus International Airport,DAM,Syria,Middle East,Ground Stop,Critical,150,34.1,2026-03-31
Imam Khomeini International Airport,IKA,Iran,Middle East,Arrival Diversions,Critical,150,39.5,2026-03-31
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,ATC Flow Restriction,Severe,254,28.4,2026-03-31
Muscat International Airport,MCT,Oman,Middle East,Staff Evacuation,Critical,170,24.0,2026-04-02
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Departure Delays,Moderate,259,30.4,2026-04-02
Ben Gurion Airport,TLV,Israel,Middle East,Security Lockdown,Severe,274,37.5,2026-04-02
Kuwait International Airport,KWI,Kuwait,Middle East,Arrival Diversions,Moderate,169,63.9,2026-04-03
Ben Gurion Airport,TLV,Israel,Middle East,ATC Flow Restriction,High,131,14.1,2026-04-03
Muscat International Airport,MCT,Oman,Middle East,Staff Evacuation,Critical,150,44.3,2026-04-03
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,Security Lockdown,High,27,69.9,2026-04-03
Changi Airport,SIN,Singapore,Asia Pacific,Ground Stop,Moderate,146,49.0,2026-04-03
Hamad International Airport,DOH,Qatar,Middle East,Staff Evacuation,High,26,71.1,2026-04-03
King Khalid International Airport,RUH,Saudi Arabia,Middle East,ATC Flow Restriction,Critical,150,27.9,2026-04-03
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,GPS Interference Advisory,Critical,150,64.4,2026-04-03
Basra International Airport,BSR,Iraq,Middle East,Departure Delays,Critical,211,52.3,2026-04-04
Kuwait International Airport,KWI,Kuwait,Middle East,Staff Evacuation,High,172,39.4,2026-04-04
Hamad International Airport,DOH,Qatar,Middle East,Security Lockdown,Moderate,47,17.8,2026-04-05
Baghdad International Airport,BGW,Iraq,Middle East,Departure Delays,Low,134,52.6,2026-04-05
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,Staff Evacuation,Critical,248,24.0,2026-04-05
Abu Dhabi International Airport,AUH,UAE,Middle East,Arrival Diversions,Critical,150,24.0,2026-04-06
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,Partial Closure,Critical,150,24.0,2026-04-06
Bahrain International Airport,BAH,Bahrain,Middle East,Flight Cancellations,High,264,55.0,2026-04-07
Cairo International Airport,CAI,Egypt,North Africa,Staff Evacuation,High,108,51.0,2026-04-07
Indira Gandhi International Airport,DEL,India,South Asia,Departure Delays,High,241,3.2,2026-04-08
Mehrabad International Airport,THR,Iran,Middle East,Fuel Shortage,Severe,201,63.4,2026-04-08
Mehrabad International Airport,THR,Iran,Middle East,Security Lockdown,Severe,139,12.0,2026-04-08
Muscat International Airport,MCT,Oman,Middle East,Security Lockdown,High,176,57.2,2026-04-08
Indira Gandhi International Airport,DEL,India,South Asia,GPS Interference Advisory,Severe,80,39.5,2026-04-08
Dubai International Airport,DXB,UAE,Middle East,Partial Closure,Critical,150,40.7,2026-04-08
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,ATC Flow Restriction,Severe,132,12.0,2026-04-09
Islamabad International Airport,ISB,Pakistan,South Asia,ATC Flow Restriction,High,20,57.6,2026-04-09
Basra International Airport,BSR,Iraq,Middle East,Security Lockdown,Critical,150,36.9,2026-04-09
Basra International Airport,BSR,Iraq,Middle East,Full Closure,Severe,198,12.0,2026-04-09
Imam Khomeini International Airport,IKA,Iran,Middle East,Departure Delays,High,145,42.4,2026-04-10
Bahrain International Airport,BAH,Bahrain,Middle East,Flight Cancellations,Severe,120,56.8,2026-04-10
Queen Alia International Airport,AMM,Jordan,Middle East,Partial Closure,Moderate,204,52.6,2026-04-11
Damascus International Airport,DAM,Syria,Middle East,Ground Stop,Critical,150,67.3,2026-04-11
Damascus International Airport,DAM,Syria,Middle East,Departure Delays,Severe,202,69.1,2026-04-12
Kuwait International Airport,KWI,Kuwait,Middle East,Ground Stop,Severe,276,30.8,2026-04-13
Chhatrapati Shivaji Maharaj International Airport,BOM,India,South Asia,GPS Interference Advisory,High,245,5.6,2026-04-14
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,Arrival Diversions,Low,156,63.4,2026-04-14
Imam Khomeini International Airport,IKA,Iran,Middle East,Departure Delays,High,155,22.6,2026-04-14
Kuwait International Airport,KWI,Kuwait,Middle East,Departure Delays,Severe,182,28.8,2026-04-14
Dubai International Airport,DXB,UAE,Middle East,Arrival Diversions,High,128,41.8,2026-04-15
Damascus International Airport,DAM,Syria,Middle East,Departure Delays,High,21,39.4,2026-04-15
Bahrain International Airport,BAH,Bahrain,Middle East,Arrival Diversions,Moderate,174,19.5,2026-04-16
Kuwait International Airport,KWI,Kuwait,Middle East,Ground Stop,High,123,6.6,2026-04-16
Basra International Airport,BSR,Iraq,Middle East,Security Lockdown,Critical,181,44.8,2026-04-16
Bahrain International Airport,BAH,Bahrain,Middle East,Partial Closure,Low,170,54.2,2026-04-16
Istanbul Airport,IST,Turkey,Middle East,Staff Evacuation,Moderate,256,68.9,2026-04-17
Charles de Gaulle Airport,CDG,France,Europe,Ground Stop,Low,248,6.8,2026-04-17
Indira Gandhi International Airport,DEL,India,South Asia,Full Closure,Moderate,20,69.5,2026-04-17
Ben Gurion Airport,TLV,Israel,Middle East,Arrival Diversions,Critical,150,24.0,2026-04-18
Mehrabad International Airport,THR,Iran,Middle East,Flight Cancellations,Moderate,24,38.6,2026-04-18
Muscat International Airport,MCT,Oman,Middle East,Flight Cancellations,High,93,44.6,2026-04-18
Abu Dhabi International Airport,AUH,UAE,Middle East,Security Lockdown,Critical,150,30.6,2026-04-18
Kuwait International Airport,KWI,Kuwait,Middle East,Partial Closure,High,50,58.9,2026-04-19
Basra International Airport,BSR,Iraq,Middle East,Departure Delays,Moderate,243,31.3,2026-04-19
Jinnah International Airport,KHI,Pakistan,South Asia,Full Closure,Severe,230,46.0,2026-04-19
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,Flight Cancellations,High,103,58.7,2026-04-20
